Frame,Person,Keypoint_Index,Keypoint_Name,X,Y,Confidence
1,0,0,nose,221.7565,77.7778,0.8595
1,0,1,left_eye,225.3612,73.4135,0.8497
1,0,2,right_eye,219.277,73.8938,0.3963
1,0,3,left_ear,233.6043,74.2396,0.9034
1,0,4,right_ear,218.3995,75.6046,0.1257
1,0,5,left_shoulder,250.2648,93.8132,0.9969
1,0,6,right_shoulder,209.8586,97.138,0.9957
1,0,7,left_elbow,261.4927,122.8571,0.9915
1,0,8,right_elbow,203.8905,127.503,0.9833
1,0,9,left_wrist,249.5574,127.943,0.9862
1,0,10,right_wrist,218.9386,126.4488,0.9746
1,0,11,left_hip,247.2395,149.9598,0.9996
1,0,12,right_hip,220.0222,150.9267,0.9996
1,0,13,left_knee,242.3874,199.0594,0.9994
1,0,14,right_knee,215.0354,198.5376,0.9993
1,0,15,left_ankle,239.1595,253.0478,0.9951
1,0,16,right_ankle,211.5904,252.968,0.9948
1,1,0,nose,473.6166,0.0,0.0001
1,1,1,left_eye,474.0674,0.0,0.0002
1,1,2,right_eye,475.0075,0.1027,0.0001
1,1,3,left_ear,472.4525,0.9128,0.0023
1,1,4,right_ear,477.5772,1.756,0.0006
1,1,5,left_shoulder,475.3707,0.0,0.0002
1,1,6,right_shoulder,476.1476,0.3401,0.0001
1,1,7,left_elbow,470.4596,0.0,0.0012
1,1,8,right_elbow,475.1085,0.0,0.0007
1,1,9,left_wrist,469.7413,0.755,0.0038
1,1,10,right_wrist,473.3654,2.4432,0.0027
1,1,11,left_hip,476.7961,0.0,0.0082
1,1,12,right_hip,477.2924,0.0,0.0074
1,1,13,left_knee,473.2148,15.6443,0.2314
1,1,14,right_knee,472.8291,15.4082,0.1972
1,1,15,left_ankle,474.1196,55.5036,0.6861
1,1,16,right_ankle,473.9602,55.232,0.648
2,0,0,nose,224.7917,84.2221,0.8328
2,0,1,left_eye,228.5329,79.4082,0.7673
2,0,2,right_eye,221.4899,79.7482,0.4018
2,0,3,left_ear,236.6771,77.2247,0.7846
2,0,4,right_ear,218.5815,78.2978,0.1403
2,0,5,left_shoulder,251.9823,95.3142,0.9948
2,0,6,right_shoulder,211.7307,98.1065,0.994
2,0,7,left_elbow,262.7148,124.4639,0.9882
2,0,8,right_elbow,205.0456,127.7453,0.9832
2,0,9,left_wrist,252.5938,130.1779,0.9839
2,0,10,right_wrist,221.0368,129.0517,0.9778
2,0,11,left_hip,248.3935,149.1733,0.9994
2,0,12,right_hip,221.5587,150.0011,0.9994
2,0,13,left_knee,244.1642,198.3262,0.9986
2,0,14,right_knee,216.4866,198.5655,0.9985
2,0,15,left_ankle,240.7272,254.1985,0.9862
2,0,16,right_ankle,213.7555,253.5713,0.9862
2,1,0,nose,472.3136,0.5138,0.0001
2,1,1,left_eye,472.7355,0.4082,0.0002
2,1,2,right_eye,473.8724,0.7257,0.0001
2,1,3,left_ear,471.1808,1.5827,0.0022
2,1,4,right_ear,476.907,2.3694,0.0004
2,1,5,left_shoulder,474.3389,0.5984,0.0002
2,1,6,right_shoulder,475.4984,1.2064,0.0001
2,1,7,left_elbow,469.8852,0.0,0.0011
2,1,8,right_elbow,474.7054,0.0,0.0006
2,1,9,left_wrist,469.2949,1.2646,0.0035
2,1,10,right_wrist,473.0547,3.0916,0.0022
2,1,11,left_hip,475.9579,0.0,0.0076
2,1,12,right_hip,476.7096,0.0,0.0066
2,1,13,left_knee,472.9742,16.7999,0.2279
2,1,14,right_knee,472.6029,16.5231,0.1888
2,1,15,left_ankle,474.7287,56.9115,0.6896
2,1,16,right_ankle,474.56,56.542,0.6456
3,0,0,nose,222.7311,85.9798,0.9442
3,0,1,left_eye,226.6844,81.2221,0.9249
3,0,2,right_eye,219.3425,81.6088,0.6258
3,0,3,left_ear,235.7733,78.9738,0.8832
3,0,4,right_ear,216.3346,80.2909,0.1323
3,0,5,left_shoulder,251.8414,96.2677,0.9964
3,0,6,right_shoulder,210.8952,99.9505,0.9957
3,0,7,left_elbow,262.4942,123.807,0.9906
3,0,8,right_elbow,205.6607,129.35,0.9857
3,0,9,left_wrist,253.9061,132.4235,0.9883
3,0,10,right_wrist,219.1446,131.1505,0.9829
3,0,11,left_hip,249.1168,151.1278,0.9994
3,0,12,right_hip,221.7201,152.1372,0.9994
3,0,13,left_knee,245.2891,199.392,0.9985
3,0,14,right_knee,216.8283,198.9914,0.9984
3,0,15,left_ankle,241.2283,253.8944,0.9847
3,0,16,right_ankle,214.188,253.9117,0.9848
3,1,0,nose,471.9445,0.6708,0.0001
3,1,1,left_eye,472.4193,0.4263,0.0002
3,1,2,right_eye,473.3946,0.7921,0.0001
3,1,3,left_ear,471.1155,1.5456,0.0024
3,1,4,right_ear,476.2589,2.4483,0.0005
3,1,5,left_shoulder,474.5208,1.2471,0.0002
3,1,6,right_shoulder,474.8456,1.8283,0.0001
3,1,7,left_elbow,469.6591,0.0,0.0012
3,1,8,right_elbow,473.2108,0.0,0.0006
3,1,9,left_wrist,468.4352,0.8282,0.004
3,1,10,right_wrist,471.0158,2.4834,0.0025
3,1,11,left_hip,476.4635,0.0,0.0075
3,1,12,right_hip,476.679,0.0,0.0064
3,1,13,left_knee,473.2478,17.2676,0.2194
3,1,14,right_knee,472.6814,16.9529,0.1799
3,1,15,left_ankle,475.0569,58.8436,0.6683
3,1,16,right_ankle,475.0368,58.3913,0.6212
4,0,0,nose,222.5313,89.983,0.8447
4,0,1,left_eye,226.3201,85.6986,0.8009
4,0,2,right_eye,219.5569,85.7923,0.3705
4,0,3,left_ear,234.899,83.2313,0.8228
4,0,4,right_ear,217.1198,83.8822,0.1002
4,0,5,left_shoulder,251.2777,97.5289,0.9951
4,0,6,right_shoulder,210.8813,101.601,0.9943
4,0,7,left_elbow,264.1254,124.6915,0.9907
4,0,8,right_elbow,206.611,132.9191,0.9864
4,0,9,left_wrist,254.7371,136.7182,0.9879
4,0,10,right_wrist,219.7392,134.513,0.9827
4,0,11,left_hip,250.1604,152.4827,0.9996
4,0,12,right_hip,223.1191,153.5883,0.9996
4,0,13,left_knee,245.8604,201.3224,0.9993
4,0,14,right_knee,218.1065,200.2987,0.9992
4,0,15,left_ankle,241.1036,254.8664,0.9931
4,0,16,right_ankle,214.7512,255.0647,0.9933
4,1,0,nose,470.8154,1.1655,0.0001
4,1,1,left_eye,471.5128,0.7944,0.0002
4,1,2,right_eye,472.0126,1.185,0.0001
4,1,3,left_ear,471.9038,1.9759,0.0016
4,1,4,right_ear,474.7016,2.8662,0.0003
4,1,5,left_shoulder,475.8795,2.1281,0.0001
4,1,6,right_shoulder,473.385,2.1831,0.0001
4,1,7,left_elbow,471.5659,0.1798,0.0008
4,1,8,right_elbow,470.3973,0.0,0.0005
4,1,9,left_wrist,469.5847,1.4734,0.0035
4,1,10,right_wrist,467.7537,0.9125,0.0024
4,1,11,left_hip,477.3617,0.0,0.0062
4,1,12,right_hip,475.7149,0.0,0.0056
4,1,13,left_knee,473.8628,19.1234,0.2138
4,1,14,right_knee,472.6889,18.6259,0.184
4,1,15,left_ankle,475.5327,60.5196,0.6809
4,1,16,right_ankle,475.4378,59.8332,0.6459
5,0,0,nose,224.6172,97.4112,0.8979
5,0,1,left_eye,228.3684,92.4788,0.8034
5,0,2,right_eye,220.4323,93.2913,0.5889
5,0,3,left_ear,236.7703,86.6682,0.6729
5,0,4,right_ear,215.5757,89.0026,0.2197
5,0,5,left_shoulder,252.3457,98.6804,0.9938
5,0,6,right_shoulder,210.71,103.8576,0.9944
5,0,7,left_elbow,265.8072,126.2704,0.9865
5,0,8,right_elbow,207.5867,134.6144,0.9876
5,0,9,left_wrist,255.6025,138.9376,0.9831
5,0,10,right_wrist,220.0187,136.7289,0.9833
5,0,11,left_hip,251.9449,153.9224,0.9994
5,0,12,right_hip,223.6402,155.1553,0.9994
5,0,13,left_knee,247.4821,202.7335,0.9986
5,0,14,right_knee,218.1518,202.3205,0.9987
5,0,15,left_ankle,243.1544,256.4625,0.9878
5,0,16,right_ankle,214.4881,255.4588,0.9892
5,1,0,nose,470.5926,1.1931,0.0001
5,1,1,left_eye,471.3784,0.754,0.0002
5,1,2,right_eye,471.5482,1.1351,0.0001
5,1,3,left_ear,472.3305,2.0031,0.001
5,1,4,right_ear,473.7775,2.8656,0.0004
5,1,5,left_shoulder,476.1626,2.5255,0.0001
5,1,6,right_shoulder,472.7542,2.334,0.0001
5,1,7,left_elbow,471.8979,0.3474,0.0007
5,1,8,right_elbow,468.9557,0.0,0.0008
5,1,9,left_wrist,469.6335,1.58,0.0031
5,1,10,right_wrist,466.3446,0.6489,0.0034
5,1,11,left_hip,477.5883,0.4355,0.007
5,1,12,right_hip,475.2883,0.1547,0.0075
5,1,13,left_knee,473.9671,20.5274,0.2126
5,1,14,right_knee,472.8564,19.9047,0.215
5,1,15,left_ankle,476.0381,61.2887,0.6692
5,1,16,right_ankle,476.0103,60.5788,0.6689
5,2,0,nose,465.1568,0.0,0.011
5,2,1,left_eye,466.5835,0.0,0.0094
5,2,2,right_eye,464.8005,0.0,0.0098
5,2,3,left_ear,468.5042,0.0,0.0066
5,2,4,right_ear,466.5902,0.0,0.0078
5,2,5,left_shoulder,469.4685,0.9477,0.0024
5,2,6,right_shoulder,467.2043,2.3514,0.0035
5,2,7,left_elbow,468.1027,3.4423,0.0033
5,2,8,right_elbow,467.5358,3.5209,0.0056
5,2,9,left_wrist,467.3359,5.2045,0.0081
