Frame,Person,Keypoint_Index,Keypoint_Name,X,Y,Confidence
1,0,0,nose,379.8033,374.6968,0.9283
1,0,1,left_eye,379.4247,362.6834,0.4933
1,0,2,right_eye,367.4226,360.0989,0.9056
1,0,3,left_ear,359.7147,369.3216,0.1079
1,0,4,right_ear,324.7872,366.202,0.9173
1,0,5,left_shoulder,349.9178,459.4044,0.9877
1,0,6,right_shoulder,247.8368,450.1555,0.9983
1,0,7,left_elbow,352.3017,585.0443,0.9552
1,0,8,right_elbow,197.0175,575.3405,0.9971
1,0,9,left_wrist,406.0301,666.1331,0.9237
1,0,10,right_wrist,274.2158,667.0441,0.9908
1,0,11,left_hip,267.0607,650.4866,0.9993
1,0,12,right_hip,188.4447,642.6116,0.9997
1,0,13,left_knee,271.3251,818.0735,0.9964
1,0,14,right_knee,155.1695,802.5526,0.9984
1,0,15,left_ankle,268.0776,998.1867,0.9643
1,0,16,right_ankle,77.3037,940.5197,0.9778
1,1,0,nose,439.5,219.0186,0.9733
1,1,1,left_eye,443.2447,215.4715,0.953
1,1,2,right_eye,435.6167,215.3093,0.9686
1,1,3,left_ear,448.2768,218.7852,0.6955
1,1,4,right_ear,429.6924,218.3255,0.8598
1,1,5,left_shoulder,456.0708,240.2166,0.9954
1,1,6,right_shoulder,419.855,241.7255,0.9958
1,1,7,left_elbow,461.2131,266.7733,0.9572
1,1,8,right_elbow,417.7572,273.107,0.9662
1,1,9,left_wrist,461.4561,286.2755,0.9115
1,1,10,right_wrist,435.3734,290.3931,0.9262
1,1,11,left_hip,451.5851,286.5351,0.9868
1,1,12,right_hip,427.0773,287.6795,0.9874
1,1,13,left_knee,460.6266,306.03,0.9355
1,1,14,right_knee,421.3982,307.5242,0.9405
1,1,15,left_ankle,454.4115,347.0118,0.7936
1,1,16,right_ankle,421.7734,349.4417,0.804
1,2,0,nose,304.5,225.842,0.9788
1,2,1,left_eye,309.4122,221.851,0.9837
1,2,2,right_eye,302.3346,221.5723,0.8527
1,2,3,left_ear,320.8234,222.3446,0.9566
1,2,4,right_ear,301.8307,221.9409,0.1849
1,2,5,left_shoulder,335.2402,242.9831,0.9944
1,2,6,right_shoulder,298.9103,240.6992,0.9792
1,2,7,left_elbow,337.7512,274.2087,0.9634
1,2,8,right_elbow,297.1899,268.9497,0.6983
1,2,9,left_wrist,317.2699,280.4431,0.9104
1,2,10,right_wrist,307.17,279.5164,0.6117
1,2,11,left_hip,330.1534,289.2511,0.929
1,2,12,right_hip,305.9442,287.1755,0.8749
1,2,13,left_knee,324.0991,299.9905,0.6091
1,2,14,right_knee,296.5458,296.8299,0.4012
1,2,15,left_ankle,321.4842,334.6154,0.2684
1,2,16,right_ankle,310.4722,330.7337,0.1603
1,3,0,nose,636.0872,215.6428,0.9462
