Frame,Person,Keypoint_Index,Keypoint_Name,X,Y,Confidence
1,0,0,nose,380.761,696.6568,0.4027
1,0,1,left_eye,350.2303,685.2229,0.1625
1,0,2,right_eye,371.9146,695.3025,0.5508
1,0,3,left_ear,296.5692,682.7899,0.0658
1,0,4,right_ear,356.8761,721.7584,0.8047
1,0,5,left_shoulder,310.2204,580.1089,0.6142
1,0,6,right_shoulder,369.6916,660.1254,0.8567
1,0,7,left_elbow,219.1069,565.9609,0.3911
1,0,8,right_elbow,328.2484,698.243,0.6972
1,0,9,left_wrist,135.3142,680.1724,0.3664
1,0,10,right_wrist,331.6201,808.6879,0.5725
1,0,11,left_hip,316.4568,452.044,0.532
1,0,12,right_hip,363.9799,497.146,0.668
1,0,13,left_knee,269.9525,309.1364,0.852
1,0,14,right_knee,365.114,388.5303,0.9009
1,0,15,left_ankle,138.9917,496.9644,0.9007
1,0,16,right_ankle,229.4153,546.86,0.9125
2,0,0,nose,377.1424,692.8651,0.3124
2,0,1,left_eye,349.9443,681.6271,0.1229
2,0,2,right_eye,366.9768,691.206,0.467
2,0,3,left_ear,305.2444,679.9468,0.0495
2,0,4,right_ear,358.5239,718.4713,0.7547
2,0,5,left_shoulder,323.9987,570.4213,0.4952
2,0,6,right_shoulder,376.9042,643.3104,0.7462
2,0,7,left_elbow,230.3286,552.67,0.3321
2,0,8,right_elbow,338.2064,659.7299,0.6102
2,0,9,left_wrist,155.9612,680.179,0.3063
2,0,10,right_wrist,331.4494,810.22,0.47
2,0,11,left_hip,311.3261,467.412,0.4664
2,0,12,right_hip,353.2205,509.3958,0.5955
2,0,13,left_knee,285.0906,296.1598,0.8009
2,0,14,right_knee,373.9816,386.2974,0.8628
2,0,15,left_ankle,141.7483,513.7714,0.8803
2,0,16,right_ankle,222.532,566.7343,0.8908
3,0,0,nose,377.1445,694.1661,0.339
3,0,1,left_eye,352.3193,688.2498,0.1349
3,0,2,right_eye,373.3338,691.4283,0.4912
